source,relation,target,target_type
Antivirals,prescribed_by,Infectious Disease Specialist,specialist
Nausea,indicates,Tuberculosis,disease
Arthritis,diagnosed_by,MRI,diagnostic_test
Corticosteroids,prescribed_by,Infectious Disease Specialist,specialist
Influenza,associated_with,Angina,disease
Conjunctivitis,treated_by,Antibiotics,treatment
Influenza,managed_by,General Practitioner,specialist
Pneumonia,diagnosed_by,Urinalysis,diagnostic_test
Pneumonia,managed_by,Dermatologist,specialist
Hypertension,associated_with,Hypertension,disease
Arthritis,causes,Fever,symptom
Influenza,causes,Headache,symptom
Pneumonia,treated_by,IV Fluids,treatment
Diabetes,associated_with,Pneumonia,disease
Asthma,managed_by,Ophthalmologist,specialist
Arthritis,associated_with,Arthritis,disease
Diabetes,diagnosed_by,Blood Test,diagnostic_test
Pneumonia,diagnosed_by,ECG,diagnostic_test
Hypertension,treated_by,Antivirals,treatment
Hypertension,treated_by,Insulin,treatment
Hypertension,causes,Headache,symptom
Influenza,causes,Chest Pain,symptom
Sore Throat,indicates,Asthma,disease
Hypertension,causes,Joint Pain,symptom
Conjunctivitis,treated_by,IV Fluids,treatment
Migraine,diagnosed_by,Blood Test,diagnostic_test
Joint Pain,indicates,Tuberculosis,disease
Tuberculosis,associated_with,Bronchitis,disease
Influenza,causes,Dizziness,symptom
Hypertension,managed_by,General Practitioner,specialist
ACE Inhibitors,prescribed_by,Pulmonologist,specialist
IV Fluids,prescribed_by,Pulmonologist,specialist
Bronchitis,causes,Rash,symptom
Antivirals,prescribed_by,Neurologist,specialist
Diabetes,diagnosed_by,CT Scan,diagnostic_test
Angina,associated_with,Influenza,disease
Angina,causes,Shortness of Breath,symptom
Angina,diagnosed_by,Blood Test,diagnostic_test
COVID-19,managed_by,Endocrinologist,specialist
Blurred Vision,indicates,Influenza,disease
Antibiotics,prescribed_by,Dermatologist,specialist
COVID-19,associated_with,Asthma,disease
Arthritis,causes,Sore Throat,symptom
Rash,indicates,Pneumonia,disease
Angina,causes,Dizziness,symptom
Bronchitis,managed_by,Cardiologist,specialist
Corticosteroids,prescribed_by,General Practitioner,specialist
Influenza,causes,Dizziness,symptom
Angina,treated_by,NSAIDs,treatment
Migraine,causes,Cough,symptom
Chest Pain,indicates,Hypertension,disease
COVID-19,treated_by,Inhalers,treatment
Cough,indicates,Tuberculosis,disease
Arthritis,treated_by,Pain Relievers,treatment
Pneumonia,treated_by,Beta Blockers,treatment
Headache,indicates,Angina,disease
Diabetes,managed_by,Endocrinologist,specialist
Asthma,treated_by,IV Fluids,treatment
Arthritis,associated_with,COVID-19,disease
COVID-19,causes,Cough,symptom
Tuberculosis,associated_with,Asthma,disease
Arthritis,managed_by,Cardiologist,specialist
Fever,indicates,Arthritis,disease
Diabetes,associated_with,Tuberculosis,disease
Fatigue,indicates,Migraine,disease
Tuberculosis,managed_by,General Practitioner,specialist
Tuberculosis,treated_by,Inhalers,treatment
Tuberculosis,managed_by,Cardiologist,specialist
Asthma,treated_by,Inhalers,treatment
Diabetes,managed_by,Endocrinologist,specialist
Conjunctivitis,managed_by,Rheumatologist,specialist
Tuberculosis,causes,Shortness of Breath,symptom
Tuberculosis,managed_by,Rheumatologist,specialist
Hypertension,associated_with,Hypertension,disease
Angina,managed_by,Infectious Disease Specialist,specialist
Nitroglycerin,prescribed_by,Neurologist,specialist
Asthma,causes,Fever,symptom
Rash,indicates,Angina,disease
Angina,associated_with,Conjunctivitis,disease
Shortness of Breath,indicates,Influenza,disease
Fatigue,indicates,COVID-19,disease
NSAIDs,prescribed_by,Rheumatologist,specialist
Migraine,managed_by,Rheumatologist,specialist
Migraine,associated_with,Migraine,disease
Inhalers,prescribed_by,Rheumatologist,specialist
Fatigue,indicates,Conjunctivitis,disease
Hypertension,managed_by,Ophthalmologist,specialist
Diabetes,diagnosed_by,ECG,diagnostic_test
IV Fluids,prescribed_by,Neurologist,specialist
Antivirals,prescribed_by,Ophthalmologist,specialist
Arthritis,associated_with,Pneumonia,disease
Cough,indicates,Diabetes,disease
Migraine,treated_by,IV Fluids,treatment
Tuberculosis,associated_with,Asthma,disease
Arthritis,treated_by,Nitroglycerin,treatment
Tuberculosis,managed_by,Cardiologist,specialist
Diabetes,diagnosed_by,CT Scan,diagnostic_test
Pneumonia,treated_by,ACE Inhibitors,treatment
COVID-19,treated_by,Antibiotics,treatment
COVID-19,managed_by,Neurologist,specialist
Pneumonia,managed_by,Pulmonologist,specialist
NSAIDs,prescribed_by,Pulmonologist,specialist
Hypertension,managed_by,Ophthalmologist,specialist
COVID-19,treated_by,Pain Relievers,treatment
Conjunctivitis,diagnosed_by,MRI,diagnostic_test
Asthma,diagnosed_by,CT Scan,diagnostic_test
Migraine,associated_with,Arthritis,disease
Influenza,managed_by,Rheumatologist,specialist
ACE Inhibitors,prescribed_by,Infectious Disease Specialist,specialist
Influenza,causes,Fatigue,symptom
Eye Drops,prescribed_by,Ophthalmologist,specialist
Bronchitis,causes,Cough,symptom
Arthritis,diagnosed_by,ECG,diagnostic_test
Angina,associated_with,Diabetes,disease
Diabetes,treated_by,Pain Relievers,treatment
Sore Throat,indicates,Asthma,disease
Eye Drops,prescribed_by,Pulmonologist,specialist
Migraine,diagnosed_by,CT Scan,diagnostic_test
Pneumonia,treated_by,NSAIDs,treatment
Shortness of Breath,indicates,COVID-19,disease
COVID-19,managed_by,Ophthalmologist,specialist
Conjunctivitis,causes,Sore Throat,symptom
Hypertension,causes,Fatigue,symptom
Hypertension,associated_with,Bronchitis,disease
Fever,indicates,Migraine,disease
Migraine,associated_with,Angina,disease
Tuberculosis,treated_by,IV Fluids,treatment
Asthma,treated_by,ACE Inhibitors,treatment
COVID-19,diagnosed_by,CT Scan,diagnostic_test
Angina,managed_by,Dermatologist,specialist
Tuberculosis,associated_with,COVID-19,disease
Insulin,prescribed_by,Neurologist,specialist
Angina,diagnosed_by,Urinalysis,diagnostic_test
Diabetes,managed_by,Rheumatologist,specialist
Migraine,managed_by,General Practitioner,specialist
Diabetes,associated_with,COVID-19,disease
Sore Throat,indicates,Influenza,disease
Cough,indicates,Asthma,disease
Eye Drops,prescribed_by,Pulmonologist,specialist
Diabetes,managed_by,Infectious Disease Specialist,specialist
Angina,managed_by,Neurologist,specialist
COVID-19,managed_by,Dermatologist,specialist
Diabetes,treated_by,Insulin,treatment
Diabetes,managed_by,General Practitioner,specialist
Asthma,treated_by,Antivirals,treatment
Bronchitis,associated_with,Angina,disease
COVID-19,associated_with,Migraine,disease
Conjunctivitis,diagnosed_by,Blood Test,diagnostic_test
Antivirals,prescribed_by,Dermatologist,specialist
Diabetes,causes,Shortness of Breath,symptom
Asthma,treated_by,Eye Drops,treatment
Pneumonia,associated_with,Pneumonia,disease
Tuberculosis,causes,Sore Throat,symptom
Influenza,associated_with,Migraine,disease
Diabetes,diagnosed_by,CT Scan,diagnostic_test
Migraine,treated_by,IV Fluids,treatment
Angina,managed_by,Endocrinologist,specialist
Tuberculosis,treated_by,ACE Inhibitors,treatment
Pain Relievers,prescribed_by,Cardiologist,specialist
Headache,indicates,Diabetes,disease
Tuberculosis,diagnosed_by,CT Scan,diagnostic_test
Angina,diagnosed_by,MRI,diagnostic_test
Conjunctivitis,diagnosed_by,X-Ray,diagnostic_test
COVID-19,managed_by,Dermatologist,specialist
Angina,treated_by,Inhalers,treatment
Arthritis,managed_by,Infectious Disease Specialist,specialist
Conjunctivitis,diagnosed_by,MRI,diagnostic_test
Inhalers,prescribed_by,Endocrinologist,specialist
Conjunctivitis,diagnosed_by,ECG,diagnostic_test
Rash,indicates,Pneumonia,disease
Influenza,treated_by,IV Fluids,treatment
ACE Inhibitors,prescribed_by,Ophthalmologist,specialist
Angina,causes,Shortness of Breath,symptom
Tuberculosis,associated_with,Bronchitis,disease
Angina,treated_by,NSAIDs,treatment
Tuberculosis,causes,Blurred Vision,symptom
Angina,managed_by,Ophthalmologist,specialist
Tuberculosis,associated_with,Arthritis,disease
Sore Throat,indicates,Angina,disease
Angina,causes,Joint Pain,symptom
Angina,associated_with,Hypertension,disease
Asthma,managed_by,Pulmonologist,specialist
Diabetes,causes,Nausea,symptom
Migraine,diagnosed_by,MRI,diagnostic_test
Hypertension,causes,Dizziness,symptom
Shortness of Breath,indicates,Tuberculosis,disease
Conjunctivitis,diagnosed_by,Urinalysis,diagnostic_test
Antivirals,prescribed_by,Cardiologist,specialist
Diabetes,diagnosed_by,ECG,diagnostic_test
Asthma,treated_by,NSAIDs,treatment
Influenza,diagnosed_by,MRI,diagnostic_test
Conjunctivitis,causes,Sore Throat,symptom
COVID-19,causes,Cough,symptom
Influenza,causes,Cough,symptom
Hypertension,associated_with,Diabetes,disease
COVID-19,causes,Headache,symptom
Bronchitis,treated_by,Nitroglycerin,treatment
Insulin,prescribed_by,Cardiologist,specialist
COVID-19,diagnosed_by,Urinalysis,diagnostic_test
Sore Throat,indicates,COVID-19,disease
Migraine,managed_by,Neurologist,specialist
Influenza,diagnosed_by,Urinalysis,diagnostic_test
Bronchitis,treated_by,Beta Blockers,treatment
Angina,managed_by,Rheumatologist,specialist
Pneumonia,treated_by,Insulin,treatment
Antibiotics,prescribed_by,General Practitioner,specialist
Rash,indicates,Diabetes,disease
Asthma,diagnosed_by,MRI,diagnostic_test
Hypertension,treated_by,IV Fluids,treatment
Angina,diagnosed_by,MRI,diagnostic_test
COVID-19,managed_by,Pulmonologist,specialist
Asthma,associated_with,Conjunctivitis,disease
COVID-19,causes,Joint Pain,symptom
Dizziness,indicates,Tuberculosis,disease
Chest Pain,indicates,COVID-19,disease
Sore Throat,indicates,Angina,disease
Beta Blockers,prescribed_by,Neurologist,specialist
Asthma,associated_with,Hypertension,disease
Pneumonia,managed_by,Pulmonologist,specialist
COVID-19,managed_by,Ophthalmologist,specialist
Sore Throat,indicates,Pneumonia,disease
Tuberculosis,associated_with,Hypertension,disease
NSAIDs,prescribed_by,General Practitioner,specialist
Conjunctivitis,causes,Blurred Vision,symptom
Hypertension,diagnosed_by,MRI,diagnostic_test
Angina,causes,Fatigue,symptom
Influenza,associated_with,Migraine,disease
Angina,managed_by,Neurologist,specialist
Fever,indicates,Hypertension,disease
Arthritis,causes,Shortness of Breath,symptom
Asthma,managed_by,Pulmonologist,specialist
Nausea,indicates,COVID-19,disease
Diabetes,associated_with,Diabetes,disease
Migraine,diagnosed_by,MRI,diagnostic_test
Diabetes,diagnosed_by,Urinalysis,diagnostic_test
Insulin,prescribed_by,Dermatologist,specialist
COVID-19,managed_by,Pulmonologist,specialist
COVID-19,causes,Fever,symptom
Pneumonia,managed_by,Cardiologist,specialist
Tuberculosis,causes,Joint Pain,symptom
Hypertension,treated_by,Beta Blockers,treatment
Pneumonia,associated_with,COVID-19,disease
Bronchitis,managed_by,General Practitioner,specialist
Bronchitis,diagnosed_by,Blood Test,diagnostic_test
Migraine,managed_by,General Practitioner,specialist
Fatigue,indicates,Arthritis,disease
Angina,treated_by,ACE Inhibitors,treatment
Arthritis,diagnosed_by,CT Scan,diagnostic_test
Asthma,treated_by,Antibiotics,treatment
Migraine,causes,Dizziness,symptom
Conjunctivitis,causes,Rash,symptom
Conjunctivitis,treated_by,Inhalers,treatment
Dizziness,indicates,Angina,disease
Hypertension,associated_with,Angina,disease
Migraine,causes,Sore Throat,symptom
Arthritis,diagnosed_by,Blood Test,diagnostic_test
Chest Pain,indicates,Bronchitis,disease
Angina,managed_by,Infectious Disease Specialist,specialist
Diabetes,treated_by,Antibiotics,treatment
Diabetes,diagnosed_by,Urinalysis,diagnostic_test
Nitroglycerin,prescribed_by,General Practitioner,specialist
COVID-19,diagnosed_by,MRI,diagnostic_test
Diabetes,causes,Shortness of Breath,symptom
Influenza,managed_by,Ophthalmologist,specialist
Bronchitis,associated_with,Migraine,disease
Conjunctivitis,diagnosed_by,ECG,diagnostic_test
Conjunctivitis,diagnosed_by,ECG,diagnostic_test
Diabetes,associated_with,Pneumonia,disease
Shortness of Breath,indicates,Hypertension,disease
COVID-19,treated_by,ACE Inhibitors,treatment
Antibiotics,prescribed_by,Endocrinologist,specialist
Hypertension,associated_with,Arthritis,disease
Angina,treated_by,ACE Inhibitors,treatment
Eye Drops,prescribed_by,Endocrinologist,specialist
Pneumonia,managed_by,General Practitioner,specialist
Corticosteroids,prescribed_by,Cardiologist,specialist
Migraine,treated_by,Corticosteroids,treatment
Influenza,treated_by,Antibiotics,treatment
Hypertension,associated_with,Asthma,disease
Asthma,diagnosed_by,Urinalysis,diagnostic_test
Conjunctivitis,associated_with,Angina,disease
Bronchitis,treated_by,IV Fluids,treatment
Arthritis,treated_by,Antibiotics,treatment
Angina,diagnosed_by,MRI,diagnostic_test
Corticosteroids,prescribed_by,Infectious Disease Specialist,specialist
Angina,managed_by,Endocrinologist,specialist
Angina,managed_by,Pulmonologist,specialist
Conjunctivitis,treated_by,Eye Drops,treatment
Tuberculosis,associated_with,Influenza,disease
Conjunctivitis,diagnosed_by,CT Scan,diagnostic_test
Eye Drops,prescribed_by,Neurologist,specialist
Conjunctivitis,diagnosed_by,CT Scan,diagnostic_test
Influenza,treated_by,Inhalers,treatment
Influenza,causes,Cough,symptom
Headache,indicates,Influenza,disease
Sore Throat,indicates,Tuberculosis,disease
Hypertension,managed_by,Ophthalmologist,specialist
Pneumonia,treated_by,IV Fluids,treatment
Influenza,causes,Dizziness,symptom
Asthma,managed_by,General Practitioner,specialist
Asthma,managed_by,Infectious Disease Specialist,specialist
Bronchitis,diagnosed_by,Blood Test,diagnostic_test
Angina,associated_with,COVID-19,disease
Bronchitis,managed_by,Pulmonologist,specialist
Conjunctivitis,treated_by,IV Fluids,treatment
Nausea,indicates,Influenza,disease
Angina,treated_by,IV Fluids,treatment
Conjunctivitis,causes,Cough,symptom
Arthritis,causes,Blurred Vision,symptom
Tuberculosis,treated_by,Eye Drops,treatment
Antivirals,prescribed_by,Rheumatologist,specialist
Pain Relievers,prescribed_by,Cardiologist,specialist
Influenza,diagnosed_by,ECG,diagnostic_test
Conjunctivitis,treated_by,Insulin,treatment
Pneumonia,managed_by,Pulmonologist,specialist
Headache,indicates,COVID-19,disease
Influenza,causes,Nausea,symptom
Diabetes,causes,Sore Throat,symptom
Dizziness,indicates,Hypertension,disease
Dizziness,indicates,Migraine,disease
COVID-19,associated_with,Asthma,disease
Conjunctivitis,causes,Blurred Vision,symptom
Beta Blockers,prescribed_by,Dermatologist,specialist
Angina,treated_by,IV Fluids,treatment
Asthma,associated_with,Migraine,disease
Diabetes,associated_with,Angina,disease
Hypertension,treated_by,Corticosteroids,treatment
Hypertension,treated_by,Inhalers,treatment
Shortness of Breath,indicates,Arthritis,disease
Tuberculosis,associated_with,Pneumonia,disease
Headache,indicates,Pneumonia,disease
Conjunctivitis,associated_with,Influenza,disease
Insulin,prescribed_by,Endocrinologist,specialist
Asthma,causes,Dizziness,symptom
Arthritis,treated_by,ACE Inhibitors,treatment
Tuberculosis,managed_by,Infectious Disease Specialist,specialist
Arthritis,diagnosed_by,X-Ray,diagnostic_test
Influenza,managed_by,Endocrinologist,specialist
Conjunctivitis,diagnosed_by,Blood Test,diagnostic_test
Asthma,causes,Dizziness,symptom
Angina,treated_by,Corticosteroids,treatment
Arthritis,managed_by,Pulmonologist,specialist
Sore Throat,indicates,Bronchitis,disease
COVID-19,associated_with,Migraine,disease
Diabetes,managed_by,Dermatologist,specialist
Dizziness,indicates,Tuberculosis,disease
Pneumonia,associated_with,Pneumonia,disease
Angina,managed_by,Dermatologist,specialist
Blurred Vision,indicates,Asthma,disease
Nitroglycerin,prescribed_by,Endocrinologist,specialist
Arthritis,treated_by,Insulin,treatment
Migraine,diagnosed_by,CT Scan,diagnostic_test
Influenza,managed_by,Endocrinologist,specialist
Diabetes,managed_by,Pulmonologist,specialist
Diabetes,managed_by,Pulmonologist,specialist
Diabetes,treated_by,Insulin,treatment
Dizziness,indicates,Pneumonia,disease
IV Fluids,prescribed_by,Cardiologist,specialist
Sore Throat,indicates,COVID-19,disease
Asthma,managed_by,Ophthalmologist,specialist
Conjunctivitis,managed_by,Endocrinologist,specialist
COVID-19,managed_by,Endocrinologist,specialist
Antibiotics,prescribed_by,Dermatologist,specialist
Arthritis,associated_with,Asthma,disease
Fatigue,indicates,Diabetes,disease
Conjunctivitis,causes,Headache,symptom
Beta Blockers,prescribed_by,Endocrinologist,specialist
Bronchitis,treated_by,Antivirals,treatment
Cough,indicates,COVID-19,disease
Arthritis,diagnosed_by,CT Scan,diagnostic_test
Arthritis,causes,Blurred Vision,symptom
Asthma,diagnosed_by,MRI,diagnostic_test
Fever,indicates,Angina,disease
Angina,managed_by,Dermatologist,specialist
Migraine,treated_by,Beta Blockers,treatment
Bronchitis,managed_by,Infectious Disease Specialist,specialist
Pneumonia,diagnosed_by,ECG,diagnostic_test
Bronchitis,associated_with,Angina,disease
Diabetes,managed_by,Pulmonologist,specialist
COVID-19,diagnosed_by,Blood Test,diagnostic_test
Arthritis,associated_with,Arthritis,disease
Arthritis,diagnosed_by,Blood Test,diagnostic_test
Bronchitis,treated_by,NSAIDs,treatment
Angina,diagnosed_by,Blood Test,diagnostic_test
Angina,treated_by,Nitroglycerin,treatment
Asthma,managed_by,Endocrinologist,specialist
Antibiotics,prescribed_by,Rheumatologist,specialist
Diabetes,associated_with,Pneumonia,disease
Conjunctivitis,treated_by,Eye Drops,treatment
Nausea,indicates,Arthritis,disease
Migraine,treated_by,Eye Drops,treatment
Migraine,managed_by,Pulmonologist,specialist
Inhalers,prescribed_by,Dermatologist,specialist
Migraine,managed_by,Cardiologist,specialist
Migraine,diagnosed_by,CT Scan,diagnostic_test
Hypertension,managed_by,Dermatologist,specialist
Insulin,prescribed_by,Neurologist,specialist
Influenza,diagnosed_by,CT Scan,diagnostic_test
Influenza,diagnosed_by,ECG,diagnostic_test
COVID-19,causes,Headache,symptom
Influenza,diagnosed_by,MRI,diagnostic_test
Arthritis,associated_with,Influenza,disease
Pneumonia,associated_with,Diabetes,disease
Rash,indicates,Asthma,disease
Influenza,associated_with,Tuberculosis,disease
Influenza,associated_with,Diabetes,disease
Diabetes,diagnosed_by,MRI,diagnostic_test
Nausea,indicates,COVID-19,disease
Antivirals,prescribed_by,Cardiologist,specialist
Nitroglycerin,prescribed_by,Infectious Disease Specialist,specialist
Migraine,diagnosed_by,X-Ray,diagnostic_test
Bronchitis,diagnosed_by,Urinalysis,diagnostic_test
Pneumonia,diagnosed_by,CT Scan,diagnostic_test
Influenza,associated_with,Influenza,disease
Influenza,associated_with,Angina,disease
IV Fluids,prescribed_by,General Practitioner,specialist
Hypertension,causes,Dizziness,symptom
Fever,indicates,Hypertension,disease
Diabetes,associated_with,Pneumonia,disease
COVID-19,treated_by,Inhalers,treatment
Migraine,treated_by,Beta Blockers,treatment
Diabetes,causes,Fatigue,symptom
Headache,indicates,Angina,disease
Arthritis,treated_by,Eye Drops,treatment
Arthritis,managed_by,Infectious Disease Specialist,specialist
Asthma,causes,Joint Pain,symptom
Tuberculosis,managed_by,Endocrinologist,specialist
Diabetes,diagnosed_by,ECG,diagnostic_test
Asthma,causes,Headache,symptom
Migraine,diagnosed_by,Blood Test,diagnostic_test
Blurred Vision,indicates,Tuberculosis,disease
COVID-19,associated_with,Bronchitis,disease
Migraine,causes,Cough,symptom
Angina,diagnosed_by,Urinalysis,diagnostic_test
Pneumonia,associated_with,Diabetes,disease
Corticosteroids,prescribed_by,Neurologist,specialist
ACE Inhibitors,prescribed_by,Cardiologist,specialist
IV Fluids,prescribed_by,Endocrinologist,specialist
Asthma,diagnosed_by,MRI,diagnostic_test
Tuberculosis,associated_with,Diabetes,disease
Influenza,managed_by,Infectious Disease Specialist,specialist
Migraine,diagnosed_by,X-Ray,diagnostic_test
Migraine,associated_with,Migraine,disease
Angina,diagnosed_by,CT Scan,diagnostic_test
Blurred Vision,indicates,Migraine,disease
COVID-19,managed_by,Pulmonologist,specialist
Bronchitis,causes,Shortness of Breath,symptom
Eye Drops,prescribed_by,Rheumatologist,specialist
Angina,diagnosed_by,Blood Test,diagnostic_test
Rash,indicates,Diabetes,disease
Pain Relievers,prescribed_by,Endocrinologist,specialist
COVID-19,causes,Shortness of Breath,symptom
IV Fluids,prescribed_by,Rheumatologist,specialist
Bronchitis,managed_by,General Practitioner,specialist
Bronchitis,causes,Blurred Vision,symptom
Pneumonia,treated_by,ACE Inhibitors,treatment
Diabetes,causes,Rash,symptom
ACE Inhibitors,prescribed_by,Rheumatologist,specialist
Fever,indicates,COVID-19,disease
Beta Blockers,prescribed_by,General Practitioner,specialist
Tuberculosis,causes,Blurred Vision,symptom
Asthma,diagnosed_by,MRI,diagnostic_test
Corticosteroids,prescribed_by,Neurologist,specialist
Nitroglycerin,prescribed_by,Infectious Disease Specialist,specialist
